start log
Sun 05/24/2020 - 17:20:19
Файл dfs.txt успішно створено

Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0      6,560 K
Registry                       104 Services                   0     71,000 K
smss.exe                       372 Services                   0        220 K
csrss.exe                      480 Services                   0      1,640 K
wininit.exe                    564 Services                   0         12 K
csrss.exe                      572 Console                    1      2,964 K
services.exe                   636 Services                   0     10,604 K
lsass.exe                      652 Services                   0     17,264 K
winlogon.exe                   732 Console                    1      3,252 K
svchost.exe                    848 Services                   0      1,312 K
svchost.exe                    876 Services                   0     24,988 K
fontdrvhost.exe                900 Console                    1      5,308 K
fontdrvhost.exe                908 Services                   0      1,124 K
svchost.exe                   1004 Services                   0     14,644 K
svchost.exe                    336 Services                   0      4,688 K
dwm.exe                        872 Console                    1    108,392 K
svchost.exe                   1048 Services                   0      4,928 K
svchost.exe                   1088 Services                   0      4,248 K
svchost.exe                   1100 Services                   0      2,800 K
svchost.exe                   1220 Services                   0      3,520 K
svchost.exe                   1236 Services                   0      4,632 K
svchost.exe                   1244 Services                   0      4,196 K
svchost.exe                   1352 Services                   0      8,908 K
svchost.exe                   1384 Services                   0      1,932 K
svchost.exe                   1424 Services                   0      5,040 K
svchost.exe                   1448 Services                   0      6,388 K
svchost.exe                   1468 Services                   0      2,436 K
svchost.exe                   1504 Services                   0      3,840 K
svchost.exe                   1552 Services                   0     11,136 K
svchost.exe                   1680 Services                   0      5,520 K
svchost.exe                   1756 Services                   0      2,260 K
svchost.exe                   1836 Services                   0      8,556 K
ekrn.exe                      1952 Services                   0    136,040 K
svchost.exe                   1996 Services                   0     14,924 K
svchost.exe                   2060 Services                   0      3,276 K
svchost.exe                   2132 Services                   0      6,504 K
svchost.exe                   2152 Services                   0      2,672 K
svchost.exe                   2224 Services                   0      5,184 K
svchost.exe                   2236 Services                   0      4,524 K
svchost.exe                   2256 Services                   0      1,864 K
svchost.exe                   2264 Services                   0      5,680 K
svchost.exe                   2352 Services                   0      2,548 K
Memory Compression            2388 Services                   0    165,196 K
svchost.exe                   2412 Services                   0      4,572 K
igfxCUIService.exe            2484 Services                   0      1,840 K
svchost.exe                   2520 Services                   0      4,600 K
svchost.exe                   2552 Services                   0      2,256 K
svchost.exe                   2568 Services                   0      3,764 K
svchost.exe                   2724 Services                   0     23,960 K
svchost.exe                   2764 Services                   0      6,448 K
svchost.exe                   3140 Services                   0      7,908 K
svchost.exe                   3268 Services                   0      2,264 K
vpnagent.exe                  3276 Services                   0      3,536 K
svchost.exe                   3284 Services                   0      5,692 K
svchost.exe                   3320 Services                   0     12,084 K
svchost.exe                   3452 Services                   0      4,504 K
scheduler.exe                 3488 Services                   0      3,576 K
svchost.exe                   3516 Services                   0      3,968 K
spoolsv.exe                   3676 Services                   0      5,216 K
armsvc.exe                    3716 Services                   0        684 K
svchost.exe                   3728 Services                   0      2,956 K
CmRcService.exe               3736 Services                   0      3,068 K
OfficeClickToRun.exe          3752 Services                   0     21,092 K
svchost.exe                   3764 Services                   0     10,552 K
svchost.exe                   3788 Services                   0     22,860 K
ERAAgent.exe                  3840 Services                   0     26,132 K
svchost.exe                   3848 Services                   0     43,852 K
svchost.exe                   3864 Services                   0      2,652 K
IpOverUsbSvc.exe              3888 Services                   0      3,312 K
mqsvc.exe                     3916 Services                   0      1,564 K
svchost.exe                   3960 Services                   0      3,200 K
OcsService.exe                4040 Services                   0      8,620 K
SMSvcHost.exe                 4084 Services                   0      2,832 K
PanGPS.exe                    3116 Services                   0     12,376 K
svchost.exe                   2712 Services                   0      1,780 K
sqlwriter.exe                 3572 Services                   0      2,008 K
svchost.exe                   4124 Services                   0      2,216 K
openvpnserv.exe               4132 Services                   0        724 K
wgsslvpnsrc.exe               4164 Services                   0        760 K
svchost.exe                   4184 Services                   0      1,648 K
svchost.exe                   4196 Services                   0      3,364 K
svchost.exe                   4204 Services                   0     12,152 K
svchost.exe                   4412 Services                   0      2,012 K
unsecapp.exe                  4420 Services                   0      4,204 K
openvpn.exe                   4500 Services                   0        220 K
